Time, AccelerometerX, AccelerometerY, AccelerometerZ 
2.28, -0.196, -10.094, 0.769
2.29, -0.235, -10.087, 0.731
2.3, -0.235, -10.125, 0.724
2.31, -0.314, -10.123, 0.485
2.32, -0.235, -10.105, 0.608
2.33, -0.235, -10.164, 0.717
2.34, -0.235, -10.125, 0.724
2.35, -0.275, -10.157, 0.679
2.36, -0.275, -10.125, 0.724
2.37, -0.314, -10.094, 0.769
2.38, -0.314, -10.139, 0.801
2.39, -0.275, -10.08, 0.692
2.4, -0.314, -10.125, 0.724
2.41, -0.314, -10.105, 0.608
2.42, -0.314, -10.119, 0.685
2.43, -0.235, -10.139, 0.801
2.44, -0.235, -10.191, 0.872
2.45, -0.275, -10.157, 0.679
2.46, -0.275, -10.125, 0.724
2.47, -0.275, -10.139, 0.801
2.48, -0.314, -10.132, 0.763
2.49, -0.314, -10.125, 0.724
2.5, -0.275, -10.132, 0.763
2.51, -0.235, -10.1, 0.808
2.52, -0.275, -10.08, 0.692
2.53, -0.235, -10.055, 0.776
2.54, -0.235, -10.041, 0.699
2.55, -0.235, -10.08, 0.692
2.56, -0.235, -10.048, 0.738
2.57, -0.235, -10.107, 0.847
2.58, -0.275, -10.119, 0.685
2.59, -0.275, -10.094, 0.769
2.6, -0.275, -10.119, 0.685
2.61, -0.275, -10.164, 0.717
2.62, -0.275, -10.164, 0.717
2.63, -0.275, -10.132, 0.763
2.64, -0.235, -10.125, 0.724
2.65, -0.275, -10.1, 0.808
2.66, -0.275, -10.164, 0.717
2.67, -0.275, -10.132, 0.763
2.68, -0.314, -10.15, 0.64
2.69, -0.275, -10.125, 0.724
2.7, -0.275, -10.1, 0.808
2.71, -0.275, -10.08, 0.692
2.72, -0.314, -10.073, 0.654
2.73, -0.353, -10.087, 0.731
2.74, -0.392, -10.119, 0.685
2.75, -0.353, -10.08, 0.692
2.76, -0.353, -10.1, 0.808
2.77, -0.314, -10.08, 0.692
2.78, -0.314, -10.073, 0.654
2.79, -0.314, -10.073, 0.654
2.8, -0.275, -10.041, 0.699
2.81, -0.314, -10.035, 0.66
2.82, -0.275, -10.073, 0.654
2.83, -0.314, -10.066, 0.615
2.84, -0.275, -10.119, 0.685
2.85, -0.314, -10.08, 0.692
2.86, -0.314, -10.098, 0.569
2.87, -0.314, -10.073, 0.654
2.88, -0.275, -10.112, 0.647
2.89, -0.275, -10.157, 0.679
2.9, -0.275, -10.112, 0.647
2.91, -0.235, -10.105, 0.608
2.92, -0.235, -10.073, 0.654
2.93, -0.235, -10.007, 0.506
2.94, -0.275, -10.073, 0.654
2.95, -0.235, -10.08, 0.692
2.96, -0.235, -10.053, 0.538
2.97, -0.235, -10.08, 0.692
2.98, -0.235, -10.119, 0.685
2.99, -0.235, -10.119, 0.685
3.0, -0.235, -10.112, 0.647
3.01, -0.235, -10.112, 0.647
3.02, -0.275, -10.144, 0.601
3.03, -0.235, -10.144, 0.601
3.04, -0.275, -10.112, 0.647
3.05, -0.275, -10.105, 0.608
3.06, -0.235, -10.066, 0.615
3.07, -0.275, -10.105, 0.608
3.08, -0.235, -10.105, 0.608
3.09, -0.275, -10.105, 0.608
3.1, -0.235, -10.112, 0.647
3.11, -0.314, -10.105, 0.608
3.12, -0.275, -10.105, 0.608
3.13, -0.275, -10.066, 0.615
3.14, -0.235, -10.098, 0.569
3.15, -0.275, -10.098, 0.569
3.16, -0.235, -10.091, 0.531
3.17, -0.235, -10.053, 0.538
3.18, -0.235, -10.066, 0.615
3.19, -0.275, -10.091, 0.531
3.2, -0.275, -10.053, 0.538
3.21, -0.275, -10.053, 0.538
3.22, -0.235, -10.06, 0.576
3.23, -0.235, -10.08, 0.692
3.24, -0.235, -10.098, 0.569
3.25, -0.235, -10.098, 0.569
3.26, -0.275, -10.085, 0.492
3.27, -0.275, -10.032, 0.422
3.28, -0.275, -10.098, 0.569
3.29, -0.235, -10.098, 0.569
3.3, -0.275, -10.039, 0.46
3.31, -0.314, -10.091, 0.531
3.32, -0.275, -10.091, 0.531
3.33, -0.275, -10.119, 0.685
3.34, -0.275, -10.085, 0.492
3.35, -0.275, -10.091, 0.531
3.36, -0.275, -10.21, 0.749
3.37, -0.275, -10.091, 0.531
3.38, -0.275, -10.112, 0.647
3.39, -0.235, -10.085, 0.492
3.4, -0.235, -10.144, 0.601
3.41, -0.235, -10.123, 0.485
3.42, -0.275, -10.123, 0.485
3.43, -0.275, -10.13, 0.524
3.44, -0.275, -10.085, 0.492
